Nombre,term_id
ASTOR (Cervecería) &#8211; Ciudad,22
APROBAR ROTISERIA &#8211; Ciudad,22
ZEQUECH RESTAURANTE &#8211; Valle Grande,22
VILLA BONITA Resto de Campo (Restó) &#8211; Villa 25 de Mayo (1),22
THE CLUB ( Restaurant &amp; Bar) &#8211; Barrio TAC- Ciudad,22
SUD (Restó) Hotel Tower Inn &#038; Suites &#8211; Ciudad &#8211; (1),22
SABORES DE MI PUEBLO &#8211; Villa 25 de Mayo,22
RINCON DEL VALLE (Restó-Bar) &#8211; Valle Grande,22
RIO AZUL (Parrilla -Restó) &#8211; Valle Grande,22
EL NIHUIL (Restaurante-Parrilla) &#8211; El Nihuil,22
CLUB DE PESCADORES &#8211; El Nihuil,22
PORTAL DEL ATUEL (Restó) &#8211; Valle Grande &#8211; (1),22
LA COCINA DE PETTRA (Resto) &#8211; Ciudad &#8211; (1),22
NEW SHALAKO &#8211; Ciudad,22
MIKELINOS &#8211; (Restó) &#8211; Ciudad -(1),22
MAJAL SUSHI &#8211; Ciudad,22
LA MANSA GRILL HOUSE &#8211; Cuadro Bombal &#8211; Cuadro Nacional,22
LA JUANITA (Restó de Campo ) &#8211; Las Paredes,22
LA GRINGA (Restó) &#8211; Ciudad,22
LA BODEGA RESTO &#8211; Ciudad,22
LA BICICLETA Resto Bar &#8211; Valle Grande,22
L´OBRADOR (Comedor De Campo) &#8211; Las Paredes &#8211; (1),22
INTI- CO(Restó) -Los Reyunos,22
HOTEL NITRA II &#8211; Valle Grande,22
HOTEL VALLE GRANDE &#8211; Valle Grande,22
EL VIEJO BODEGON &#8211; (Restó) &#8211; Las Paredes,22
EL TOMILLO (Los Carolinos Lodge) &#8211; Villa 25 de Mayo,22
EL NIHUIL HOTEL (Resto)- El Nihuil &#8211; (1),22
RESTAURANTE LAZARO &#8211; Ciudad,22
COLOR CAFÉ &#8211; Villa 25 de Mayo,22
COCINA DE FUEGO (Parilla) &#8211; Ciudad,22
CHEZ GASTON RESTAURANTE &#8211; Cuadro Benegas ( 1),22
CHECHO A LA LLAMA ( Parrilla) &#8211; Cuadro Nacional,22
CHAKANA Bar &#8211; Valle Grande,22
CEBO ANDINO (Restaurante) &#8211; Los Reyunos,22
CALLE ANGOSTA (Enorestó Bodega Ibarra) &#8211; Rama Caída,22
BABEL (Bar Restó) &#8211; Ciudad,22
AYUM ELUN ALDEA DE RIO &#8211; (Restaurante) &#8211; Valle Grande &#8211; (1),22
AL ANTOJO DEL COCINERO(Resto) &#8211; Ciudad,22
EPSILONCRU VINEYARDS (Bodega) &#8211; Las Paredes.,110
"BODEGA CLANN MARANGI vinos de autor, licores y conservas gourmet y artesanales",110
Bodega ÚLTIMA FRONTERA &#8211;,110
Chaglasian Winery &amp; Vineyards,110
BODEGA FAMILIA MORGAN (Bodega) – Las Paredes,110
BODEGA ETNIA,110
FINCA AMAKAIK -Viñedos &#8211; Bodega &#8211; Enoturismo,110
BODEGA GRAND ESTATE (vinos),110
BODEGA FOW &amp; Restó &#8211; Cuadro Benegas,110
FINCA CUADRO BENEGAS &#8211; Cuadro Benegas,110
BODEGA LIMBO- Cuadro Benegas,110
BODEGA TORNAGHI (Bodega) &#8211; Ciudad,110
Terra Lombarda (Bodega) &#8211; Rama Caída,110
ROCA (Bodega)- Cañada Seca,110
MURVILLE (Bodega / Espumantes) &#8211; Las Paredes,110
LABIANO (Bodega / Espumantes) &#8211; Rama Caída,110
LA VIEJA BODEGA SERRA (Bodega / Aceite de Oliva) &#8211; Rama Caída,110
LA MANSA WINE ESTATES &#8211; Cuadro Nacional,110
LA ABEJA (Bodega / Espumantes) &#8211; Ciudad,110
JEAN RIVIER(Bodega) &#8211; Las Paredes,110
