pagina,id,nombre,categoria,ubicacion,url
11,13410,LA COCINA de OLGA,casa-de-comidas-rotiseria-viandas,casa-de-comidas,https://guiarsanrafael.com.ar/empresa/la-cocina-de-olga/
11,13423,LA MANZANERIA,casa-de-comidas-rotiseria-viandas,casa-de-comidas,https://guiarsanrafael.com.ar/empresa/la-manzaneria/
12,13133,Hojalateria Peregrin,hojalateria,hojalateria,https://guiarsanrafael.com.ar/empresa/hojalateria-peregrin/
12,13136,PISCINAS SAN RAFAEL,accesorios-para-piscinas,accesorios-para-piscinas,https://guiarsanrafael.com.ar/empresa/piscinas-san-rafael/
12,13144,PERICAS Construcciones,construccion-en-seco-constructoras,construccion-en-seco,https://guiarsanrafael.com.ar/empresa/pericas-construcciones/
12,13157,EL POLLO de ORO,avicolas,avicolas,https://guiarsanrafael.com.ar/empresa/el-pollo-de-oro/
12,13166,METALURGICA FARINA,amoblamientos,amoblamientos,https://guiarsanrafael.com.ar/empresa/metalurgica-farina/
12,13195,INSTINTO Belleza y Bienestar,barberias-peluqueria-barberos,barberias,https://guiarsanrafael.com.ar/empresa/instinto-belleza-y-bienestar/
12,13225,MANJARES Rotisería Casa de Comidas,casa-de-comidas-rotiseria-viandas,casa-de-comidas,https://guiarsanrafael.com.ar/empresa/manjares-casa-de-comidas/
12,13236,POLLOS NELVIS,casa-de-comidas-rotiseria-viandas,casa-de-comidas,https://guiarsanrafael.com.ar/empresa/pollos-nelvis/
12,13247,TECNOMANIAC  Servicio Técnico,accesorios-de-telefonia-celular,accesorios-de-telefonia,https://guiarsanrafael.com.ar/empresa/tecnomania-servicio-tecnico/
12,13275,JN COMPETICION,bicicleterias,bicicleterias,https://guiarsanrafael.com.ar/empresa/jn-competicion/
13,12978,GIMNASIO LEALTAD,gimnasios-gym,gimnasios,https://guiarsanrafael.com.ar/empresa/gimnasio-lealtad-2/
13,12989,MATIAS PONTE LAFALLA,centro-de-estetica,cirugia-estetica,https://guiarsanrafael.com.ar/empresa/matias-ponte-lafalla/
13,12992,MM Suplementos Deportivos,indumentaria,indumentaria,https://guiarsanrafael.com.ar/empresa/mym-suplementos-e-indumentaria/
13,13010,CERAMICASA San Rafael,ceramicas,ceramicas,https://guiarsanrafael.com.ar/empresa/ceramicasa-san-rafael/
13,13029,CIFEL Veterinaria,alimentos-balanceados,alimentos-balanceados,https://guiarsanrafael.com.ar/empresa/cifel-veterinaria/
13,13030,CAMILA DIAZ Estilista,centro-de-estetica,centro-de-estetica,https://guiarsanrafael.com.ar/empresa/camila-diaz-estilista/
13,13078,PABLO FERNANDEZ,implantes,implantes,https://guiarsanrafael.com.ar/empresa/pablo-ferandez/
13,13092,TESLA Electricidad,electricidad-iluminacion,electricidad,https://guiarsanrafael.com.ar/empresa/tesla-electricidad/
13,13094,TERRACOTA Muebles de Diseño,amoblamientos,decoracion,https://guiarsanrafael.com.ar/empresa/terracota-muebles-de-diseno/
13,13123,MAS FERRETERIA,ferreterias-herramientas,ferreterias,https://guiarsanrafael.com.ar/empresa/mas-ferreteria/
14,12835,CARLOS GAÑAN de Pelos,barberias-peluqueria-barberos,barberias,https://guiarsanrafael.com.ar/empresa/carlos-ganan-de-pelo/
14,12844,MI YERBERIA Almacen de Yerba Mate,almacen-de-yerbamate,almacen-de-yerbamate,https://guiarsanrafael.com.ar/empresa/mi-yerberia-almacen-de-yerba-mate/
14,12856,ADOLFO Agro Veterinaria,agroveterinaria,agroveterinarias,https://guiarsanrafael.com.ar/empresa/adolfo-agro-veterinaria/
14,12870,LA POSADA DE CACHO,alojamiento-cabanas-camping,alojamientos,https://guiarsanrafael.com.ar/empresa/la-posada-de-cacho/
14,12888,LA POSADA DEL INDIO,alojamiento-cabanas-camping,alojamientos,https://guiarsanrafael.com.ar/empresa/la-posada-del-indio/
14,12899,PAMPERO San Rafael,indumentaria,indumentaria,https://guiarsanrafael.com.ar/empresa/pampero-san-rafael/
14,12912,MOES Casa de Comidas,casa-de-comidas-rotiseria-viandas,casa-de-comidas,https://guiarsanrafael.com.ar/empresa/moes-casa-de-comidas/
14,12925,GIMNASIO LEALTAD,gimnasios-gym,gimnasios,https://guiarsanrafael.com.ar/empresa/gimnasio-lealtad/
14,12933,LA OCASION Distribuidora Mayorista,articulos-para-el-hogar-bazar,articulos-para-el-hogar,https://guiarsanrafael.com.ar/empresa/la-ocasion-distribuidora-mayorista/
14,12955,LA MARUJA Cosas de Campo,cuchilleria,cuchilleria,https://guiarsanrafael.com.ar/empresa/la-maruja-cosas-de-campo/
15,12697,ANGELES PIZARRO Masoterapeuta,centro-de-estetica,centro-de-estetica,https://guiarsanrafael.com.ar/empresa/angeles-pizarro-masoterapeuta/
15,12705,ANESUEL TIENDA,indumentaria,tiendas,https://guiarsanrafael.com.ar/empresa/anesuel-tienda/
15,12713,PULSO FITNESS Gimnasio,gimnasios-gym,gimnasios,https://guiarsanrafael.com.ar/empresa/pulso-fitness-gimnasio/
15,12722,EL INDALO Construcción en Seco,construccion-en-seco-constructoras,aislantes-2,https://guiarsanrafael.com.ar/empresa/el-indalo-construccion-en-seco/
